strategy,ticker,trades,basic_wr,basic_avg,basic_total,best_wr,best_avg,best_total,realistic_wr,realistic_avg,realistic_total
Morning Dip (9:30-10:00) → Close (3:30-4:00),ASTS,58,50.0,0.5922324676817005,34.349483125538626,70.6896551724138,3.7191713709741374,215.71193951649997,41.37931034482759,0.2592677485387798,15.037529415249228
Morning Dip (9:30-10:00) → Close (3:30-4:00),ARQQ,58,44.827586206896555,-0.9415616673957266,-54.61057670895214,75.86206896551724,3.3999159098034513,197.19512276860019,46.55172413793103,-0.6355573465221875,-36.86232609828688
Morning Dip (9:30-10:00) → Close (3:30-4:00),IONQ,58,43.103448275862064,-1.1259661782904213,-65.30603834084444,63.793103448275865,2.0368508322187404,118.13734826868694,41.37931034482759,-0.9219097360915044,-53.47076469330725
Morning Dip (9:30-10:00) → Close (3:30-4:00),RGTI,58,44.827586206896555,-0.5882721563704807,-34.11978506948788,65.51724137931035,2.7667278155367008,160.47021330112864,41.37931034482759,-0.6691356767481422,-38.80986925139225
Morning Dip (9:30-10:00) → Close (3:30-4:00),TQQQ,58,55.172413793103445,-0.08466063189383505,-4.910316649842433,75.86206896551724,1.3071431858435276,75.81430477892461,53.44827586206896,-0.12983607358019109,-7.530492267651082
Morning Dip (9:30-10:00) → Close (3:30-4:00),SOXL,58,50.0,0.10797809667728586,6.26272960728258,79.3103448275862,2.750214293926178,159.51242904771834,53.44827586206896,-0.30477164435723497,-17.67675537271963
First Hour (9:30-10:30) → Power Hour (3:00-4:00),NVVE,58,44.827586206896555,-0.7838518620865915,-45.46340800102231,77.58620689655173,8.320226177151923,482.5731182748116,46.55172413793103,-0.3790199411862791,-21.983156588804185
First Hour (9:30-10:30) → Power Hour (3:00-4:00),BE,58,48.275862068965516,0.07962074690815318,4.6180033206728845,84.48275862068965,5.340636767712546,309.75693252732765,53.44827586206896,0.1585536130980849,9.196109559688924
First Hour (9:30-10:30) → Power Hour (3:00-4:00),APLD,58,50.0,0.26649233231283387,15.456555274144366,81.03448275862068,4.664162519637251,270.5214261389605,43.103448275862064,-0.39088849716909657,-22.6715328358076
First Hour (9:30-10:30) → Power Hour (3:00-4:00),UUUU,58,48.275862068965516,0.27054887970357683,15.691835022807457,79.3103448275862,4.708035235891991,273.0660436817355,41.37931034482759,-0.02704688807337756,-1.5687195082558985
First Hour (9:30-10:30) → Power Hour (3:00-4:00),ASTS,58,46.55172413793103,0.725651853120207,42.087807480972,77.58620689655173,4.469060510099198,259.2055095857535,44.827586206896555,0.19777142758725896,11.47074280006102
First Hour (9:30-10:30) → Power Hour (3:00-4:00),ARQQ,58,46.55172413793103,-0.7969274974700814,-46.22179485326472,81.03448275862068,4.277042345115991,248.06845601672745,48.275862068965516,-0.5085002657197123,-29.493015411743315
First Hour (9:30-10:30) → Power Hour (3:00-4:00),IONQ,58,44.827586206896555,-0.9741789987358402,-56.50238192667874,72.41379310344827,3.0110300777773635,174.6397445110871,43.103448275862064,-0.6878044622162617,-39.892658808543175
First Hour (9:30-10:30) → Power Hour (3:00-4:00),RGTI,58,48.275862068965516,-0.40529960109260516,-23.5073768633711,75.86206896551724,3.8775160434004374,224.89593051722537,44.827586206896555,-0.4786003021383789,-27.758817524025975
First Hour (9:30-10:30) → Power Hour (3:00-4:00),TQQQ,58,56.896551724137936,-0.05870782190079979,-3.405053670246388,82.75862068965517,1.7356134415877582,100.66557961208997,53.44827586206896,-0.10491801999460029,-6.085245159686817
First Hour (9:30-10:30) → Power Hour (3:00-4:00),SOXL,58,48.275862068965516,0.12419352971484127,7.203224723460793,87.93103448275862,3.5472736658196826,205.7418726175416,51.724137931034484,-0.24116293169599834,-13.987450038367903
